Cod Produto;Produto;Deriv;Tipo/Cor;Rua;Secao;Andar
150001001;FITA BORDA PAPEL 18MM PARDO - 180G;3000;NEUTRO;R3D;S1;E2
150001003;FITA BORDA PAPEL 40 MM PARDO - 180G;3000;NEUTRO;R3D;S2;D2
150001004;FITA BORDA PAPEL 18 MM - 210G;1053;OFF WHITE BRILHO;R3D;S5;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;2014;PRETO FOSCO;R3D;S5;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;2063;CHUMBO;R3D;S1;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;2086;GRIS FOSCO;R3D;S9;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3038;AVELA;R3D;S4;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S2;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S2;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S2;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S7;D3
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S7;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S8;D3
150001004;FITA BORDA PAPEL 18 MM - 210G;3039;OFF WHITE;R3D;S8;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3045;NOGUEIRA;R3D;S1;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;3046;NOGAL;R3D;S3;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;3052;CARVALHO;R3D;S3;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3057;FREIJO;R3D;S1;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3057;FREIJO;R3D;S1;E1
150001004;FITA BORDA PAPEL 18 MM - 210G;3058;AMENDOA;R3D;S4;D0
150001004;FITA BORDA PAPEL 18 MM - 210G;3059;TITANIO;R3D;S6;E0
150001004;FITA BORDA PAPEL 18 MM - 210G;3070;NATURE;R3E;S5;D3
150001004;FITA BORDA PAPEL 18 MM - 210G;3080;TAUARI;R4D;S1;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3082;JATOBA;R3D;S6;E3
150001004;FITA BORDA PAPEL 18 MM - 210G;3085;JEQUITIBA;R3D;S5;E1
150001005;FITA BORDA PAPEL 28 MM - 240G;1053;OFF WHITE BRILHO;R3D;S5;D1
150001005;FITA BORDA PAPEL 28 MM - 240G;2038;AVELA FOSCO;R3D;S4;E1
150001005;FITA BORDA PAPEL 28 MM - 240G;2039;OFF WHITE FOSCO;R3D;S2;E1
150001006;FITA BORDA PAPEL 28 MM - 240G;2039;OFF WHITE FOSCO;R3D;S2;E2
150001005;FITA BORDA PAPEL 28 MM - 240G;2052;CARVALHO FOSCO;R3D;S3;E0
150001005;FITA BORDA PAPEL 28 MM - 240G;2057;FREIJO FOSCO;R3D;S1;D1
150001005;FITA BORDA PAPEL 28 MM - 240G;2058;AMENDOA FOSCO;R3D;S4;D1
150001005;FITA BORDA PAPEL 28 MM - 240G;2059;TITANIO FOSCO;R3D;S6;E1
150001005;FITA BORDA PAPEL 28 MM - 240G;2063;CHUMBO;R3D;S1;D3
150001005;FITA BORDA PAPEL 28 MM - 240G;3070;NATURE;R3D;S6;D1
150001005;FITA BORDA PAPEL 28 MM - 240G;3080;TAUARI;R4D;S2;D3
150001005;FITA BORDA PAPEL 28 MM - 240G;3082;JATOBA;R3D;S7;D2
150001006;FITA BORDA PAPEL 40 MM - 240G;2038;AVELA FOSCO;R3D;S4;E2
150001006;FITA BORDA PAPEL 40 MM - 240G;2046;NOGAL FOSCO;R3D;S3;E2
150001006;FITA BORDA PAPEL 40 MM - 240G;2052;CARVALHO FOSCO;R3D;S3;E2
150001006;FITA BORDA PAPEL 40 MM - 240G;2057;FREIJO FOSCO;R3D;S1;D2
150001006;FITA BORDA PAPEL 40 MM - 240G;2058;AMENDOA FOSCO;R3D;S4;D2
150001006;FITA BORDA PAPEL 40 MM - 240G;2059;TITANIO FOSCO;R3D;S6;E2
150001006;FITA BORDA PAPEL 40 MM - 240G;3063;CHUMBO;R3D;S2;D3
150001006;FITA BORDA PAPEL 40 MM - 240G;3070;NATURE;R3D;S6;D2
150001006;FITA BORDA PAPEL 40 MM - 240G;3082;JATOBA;R3D;S7;E2
150001010;FITA DE BORDA PAPEL 28MM SOFT - 180G;3070;NATURE;R3D;S9;D2
150001012;FITA DE BORDA PAPEL 32MM SOFT - 180G;2059;TITANIO FOSCO;R3D;S9;D3
150002001;FITA BORDA PS 19/0,45MM;1053;OFF WHITE BRILHO;R3D;S5;E2
150002001;FITA BORDA PS 19/0,45MM;2039;OFF WHITE FOSCO;R3E;S1;D0
150002001;FITA BORDA PS 19/0,45MM;2070;NATURE FOSCO;R3E;S1;E0
150002001;FITA BORDA PS 19/0,45MM;2080;TAUARI FOSCO;R3E;S2;E1
150002001;FITA BORDA PS 19/0,45MM;2082;JATOBA FOSCO;R3D;S8;D2
150002001;FITA BORDA PS 19/0,45MM;2084;WHISKY FOSCO;R3D;S5;D2
150002001;FITA BORDA PS 19/0,45MM;2086;GRIS FOSCO;R4D;S2;E2
150002002;FITA BORDA PS 29X0,45 MM;1053;OFF WHITE BRILHO;R3D;S6;D3
150002002;FITA BORDA PS 29X0,45 MM;2039;OFF WHITE FOSCO;R3E;S1;D1
150002002;FITA BORDA PS 29X0,45 MM;2070;NATURE FOSCO;R3E;S1;E1
150002002;FITA BORDA PS 29X0,45 MM;2072;DOURADO FOSCO;R3D;S3;E3
150002002;FITA BORDA PS 29X0,45 MM;2080;TAUARI FOSCO;R3E;S2;E2
150002002;FITA BORDA PS 29X0,45 MM;2086;GRIS FOSCO;R4D;S3;D3
150002002;FITA BORDA PS 29X0,45 MM;3085;JEQUITIBA;R4D;S1;D3
150002003;FITA BORDA PS 44X0,45MM;2039;OFF WHITE FOSCO;R3E;S1;D2
150002003;FITA BORDA PS 44X0,45MM;2080;TAUARI FOSCO;R3E;S2;E3
150002003;FITA BORDA PS 44X0,45MM;3070;NATURE;R3E;S1;E3
150002003;FITA BORDA PS 44X0,45MM;3085;JEQUITIBA;R4D;S1;D2
150002005;FITA BORDA PS 16/0,45MM;2039;OFF WHITE FOSCO;R3E;S1;D3
150002006;FITA BORDA PS 34/0,45MM;2039;OFF WHITE FOSCO;R3E;S1;E2
150002006;FITA BORDA PS 34/0,45MM;2059;TITANIO FOSCO;R3E;S5;E3
150002006;FITA BORDA PS 34/0,45MM;2070;NATURE FOSCO;R3E;S8;E3
150002006;FITA BORDA PS 34/0,45MM;3085;JEQUITIBA;R4D;S1;D2
150002007;FITA BORDA PS 22/045MM;2039;OFF WHITE FOSCO;R3D;S4;D3
150002007;FITA BORDA PS 22/045MM;2059;TITANIO FOSCO;R3D;S3;D3
160006001;PARAFUSO 3,5X12 CABECA CHATA;;;R3E;S3;D2
160006002;PARAFUSO 3,5X14 CABECA CHATA;;;R3E;S3;E1
160006003;PARAFUSO 3,5X14 CABECA FLANGEADA;;;R3E;S3;D2
160006004;PARAFUSO 3,5X22 CABECA FLANGEADA SEM PONTA;;;R3E;S3;D3
160006005;PARAFUSO 3,5X35 CABECA CHATA;;;R3E;S5;E2
160006006;PARAFUSO 3,5X40 CABECA CHATA;;;R3E;S5;E0
160006007;PARAFUSO 4,0X16 CABECA CHATA;;;R3E;S3;E1
160006008;PARAFUSO 4,5X25 CABECA CHATA;;;R3E;S4;D0
160006010;PARAFUSO 4,5X50 CABECA CHATA;;;R3E;S5;D0
160006011;PREGO 8X8 COM CABECA LISO - 18,50x1,30mm;;;R3E;S3;D0
160006015;PARAFUSO 6,0X75 CABECA CHATA;;;R3E;S2;E0
160006016;PARAFUSO 3,5X12 CABECA FLANGEADA;;;R3E;S4;E1
160006016;PARAFUSO 3,5X12 CABECA FLANGEADA;;;R3E;S4;E0
160006017;PINO F-30;;;R3D;S7;D0
160006018;PARAFUSO 4,5X22 CABECA CHATA;;;R3E;S3;D1
160006019;PARAFUSO M4 10MM CHATA;;;R3E;S5;D3
160006020;PINO UNIAO M4 12MM CHATA;;;R3E;S8;E2
160006021;PARAFUSO 4,5X35 CABECA FLANGEADA;;;R3E;S2;D1
160006022;PARAFUSO M4 12MM CHATA;;;R3E;S5;D1
160006024;PINO F-20;;;R3D;S7;D0
160006027;PARAFUSO FRANCES M10X30;;;;;
160006029;GRAMPO INMES MODELO HW - 12MM;;;R3D;S7;E0
160006031;PINO F-12;;;R3D;S7;D0
160006034;PARAFUSO 3,5X25 CABECA FLANGEADA PRETO;;;R3E;S3;E1
160006035;GRAMPO BOX 35/22;;;R3D;S7;E0
160006037;PARAFUSO M4 40MM CABECA FLANGEADA;;;R3E;S4;D2
160006038;PARAFUSO ESTRUTURAL 7X40 CABECA ALLEN;;;R3E;S2;D3
160006041;PARAFUSO CABECA SEXTAVADA 10 X 70  ACO;;;R3E;S3;E1
160006042;PARAFUSO 3,5X30 CABECA FLANGEADA;;;R3E;S5;E3
160006044;PARAFUSO M4 20MM CABECA CHATA;;;R3E;S5;D1
160006046;PARAFUSO ESTRUTURAL 7X60 CABECA CHATA;;;R3E;S3;E2
160006048;PARAFUSO M4 35MM CABECA CHATA;;;R3E;S3;E3
160006049;GRAMPO 80 - 12X16 (LINHA MONACO);;;R3D;S7;D0
160006050;PARAFUSO 3,5X20 CABECA FLANGEADA;;;R3E;S6;E3
160006052;PINO F 10;;;R3D;S7;E0
160006053;PARAFUSO ESTRUTURAL 7X40 CABECA CHATA;;;R3E;S3;E0
160006055;PARAFUSO 3,5X25 CABECA CHATA;;;R3E;S6;E2
160006056;PARAFUSO 3,5X40 CABECA CHATA;;;R3E;S5;E2
160001001;COLA PARA MONTAGEM;;;R3E;S5;E1
160001046;CHAVE  ALLEN;;;R3E;S5;D2
160001031;FELTRO ADESIVO 20 X 25 X 3MM;;;R3E;S5;E1
160001050;FITA DUPLA FACE VHB 4312 25X19MM;;;R3E;S6;E1
160001055;FITA DUPLA FACE 3M;;;R3E;S6;E1
160001054;FITA DUPLA FACE 3M 4880 17X150MM;;;R3E;S6;E1
160001002;PRENDEDOR DE FUNDOS 13X13 COM 1 FURO;;;R3E;S6;E0
160001008;PINO GIROFIX DUPLO;;;R3E;S6;E0
160002004;SAPATA OVAL 12X50 - TITANIO FOSCO;;;R3E;S6;D0
160001009;ARRUELA 3/16 15MM ZINCADO;;;R3E;S6;D1
160001010;ARRUELA PLASTICA PARA PUXADOR;;;R3E;S6;D1
160001062;CANTONEIRA PLASTICA NATURE 20X20X14X1,8MM;;;R3E;S6;D3
160001034;CHAPA JUNCAO 18X40;;;R3E;S7;E0
160001034;CHAPA JUNCAO 18X40;;;R3E;S7;D0
160001032;CANTONEIRA PLASTICA CINZA;;;R3E;S7;E1
160001061;SUPORTE ANGULAR CENTRAL NATURE;;;R3E;S7;E2
160003019;DISTANCIADOR HDF-CRU PARA DOBRADICA;;;R3E;S7;E3
160004001;SUPORTE PRATELEIRA U;;;R3E;S7;D1
160001067;KIT PROTETOR DE SILICONE P/ QUINA;;;R3E;S7;D3
160001024;PINO GIROFIX;;;R3E;S8;E0
160001024;PINO GIROFIX;;;R3E;S8;D0
160001011;SUPORTE ANGULAR CENTRAL MARRON;;;R3E;S8;D2
160001059;CAVILHA 5X25MM;;;R3E;S8;E3
160001005;CAVILHA 8X55MM PINUS;;;R3E;S8;E2
160002014;DISTANCIADOR DE PAINEL 70 X 32 X 15MM;3070;NATURE FOSCO;R3E;S8;D3
160001025;CASTANHA DO MINI-GIROFIX;;;R3E;S9;E0
160001025;CASTANHA DO MINI-GIROFIX;;;R3E;S9;D0
160001012;DISPOSITIVO TRAPEZIO CINZA;;;R3E;S9;E1
160001004;CAVILHAS 8X30MM PINUS;;;R3E;S9;D1
160002003;SUPORTE PRATELEIRA NYLON 8X10MM - PRETO;;;R3E;S9;E2
160003009;SUPORTE PLASTICO PORTA DE CORRER INTERNO;;;R3E;S9;D3
160002006;BUCHA 8MM (PAREDE) - NEUTRO;;;R3E;S2;D0
160002050;BATENTE DE BORRACHA PARA PORTAS;;;R3E;S4;E2
